X,Y,1,2,3,4,5,6,7,8
656960.4,3435512.6,312,237,280,237,124,495,570,539
656957.1,3435506.4,310,239,284,223,121,457,556,497
656955.4,3435501.4,308,241,272,230,123,471,568,580
656961,3435499.3,308,240,280,232,125,477,575,551
656970.7,3435499.6,308,242,277,229,120,439,539,542
656970.7,3435499.6,308,242,277,229,120,439,539,542
656978.9,3435498.8,309,241,278,236,124,468,545,560
656980.4,3435490.5,307,233,267,212,117,358,442,426
656940.1,3435468.7,307,240,288,245,140,447,514,488
656955.4,3435471.1,311,237,278,230,123,508,585,576
656966.9,3435473.1,308,238,286,228,124,509,631,606
656961.3,3435465.5,311,239,282,224,120,478,623,623
656949.8,3435461.9,314,243,292,244,127,554,681,685
656955.1,3435460.5,309,243,291,243,126,525,630,627
656963.3,3435458.1,309,239,276,219,119,434,552,517
656938.6,3435450.7,309,239,284,243,121,549,615,618
656952.1,3435449.9,315,244,296,243,132,574,719,692
656959.8,3435446.3,310,242,283,230,129,500,621,603
656973.3,3435451,307,238,271,222,118,441,476,473
656981.9,3435443.4,309,240,276,220,117,419,555,512
656981.4,3435436.9,307,238,271,225,120,456,550,528
656984.8,3435432.2,306,237,277,217,119,412,489,472
656975.1,3435426.9,305,241,281,226,123,406,478,428
656970.7,3435420.4,303,240,274,220,112,413,471,451
656977.2,3435414.8,305,235,274,218,116,405,505,450
656985.7,3435416.6,302,240,284,209,113,383,490,404
657004.9,3435416.9,305,238,275,216,116,418,465,434
656930.3,3435402.7,309,237,282,219,117,389,483,453
656938.3,3435403.3,303,239,291,228,122,454,561,512
656960.1,3435406.8,309,236,276,226,117,415,515,504
656956.9,3435401,305,232,278,222,114,420,500,454
656955.7,3435394.2,306,238,269,215,112,401,478,421
656965.1,3435395.1,312,244,287,221,117,397,488,438
656953.3,3435391.8,305,237,281,220,115,419,543,518
656949.5,3435387.7,308,239,289,241,122,545,666,637
656943.6,3435382.7,309,241,289,224,121,424,547,491
656960.7,3435383.6,307,235,277,223,123,475,571,566
656950.7,3435373,304,242,277,219,117,437,467,437
656939.5,3435365.3,308,239,287,230,120,461,573,534
656951.3,3435363.5,314,245,292,237,126,505,601,583
656961,3435366.5,311,239,291,226,127,499,573,548
656962.7,3435359.7,309,246,298,229,126,453,591,525
656955.1,3435354.4,304,243,278,229,118,487,563,522
657020.8,3435527.6,309,233,260,214,114,401,516,501
657049,3435527,309,239,284,235,133,464,547,536
657055.8,3435521.7,309,238,275,224,118,444,505,498
657031.7,3435515.2,310,239,275,222,113,492,597,569
657023.4,3435509.6,309,236,261,214,115,445,556,535
657035.2,3435510.5,307,240,281,228,122,443,563,516
657049,3435509.1,309,237,266,215,116,390,442,441
657031.7,3435503.5,309,236,267,223,122,442,516,515
657049,3435499.3,305,235,259,202,108,433,517,518
657060.2,3435522.9,305,237,275,222,121,455,539,540
657070.5,3435524.4,308,235,273,221,120,435,545,502
657079.7,3435526.4,303,232,264,208,116,400,514,462
657085,3435520.7,309,240,283,227,121,494,590,572
657065.5,3435514.7,303,242,284,221,126,421,569,493
657094.7,3435511.1,306,240,262,219,122,343,394,376
657114.7,3435512.6,309,236,265,220,116,499,570,567
657130,3435520.5,305,231,270,218,114,428,496,463
657138.9,3435529.7,306,238,281,223,122,510,636,591
657153.9,3435554.1,299,224,250,189,103,315,383,353
657176,3435550.6,298,233,265,205,115,386,473,453
657171.3,3435536.5,302,236,275,229,126,459,527,520
657300.3,3435518.5,303,234,267,221,123,418,461,458
657290.6,3435509.4,303,232,264,219,118,416,502,493
657304.7,3435510.8,301,235,267,209,114,377,479,448
657300.6,3435500.5,308,232,267,219,116,431,492,497
657277,3435496.1,301,236,264,207,113,415,489,480
657282.9,3435493.7,306,236,269,223,116,487,595,590
657296.5,3435493.7,300,229,250,209,105,377,412,434
657308.6,3435490.2,298,232,257,201,115,388,522,479
657269.4,3435486.7,301,236,272,216,112,456,564,543
657274.4,3435483.1,302,231,266,217,113,430,506,507
657267.6,3435479,304,235,276,226,127,449,554,540
657254.4,3435476.7,305,237,268,219,115,467,582,524
657264.1,3435474.6,302,235,275,221,122,478,550,570
657270.6,3435471.4,306,235,277,232,134,478,553,562
657248.5,3435468.4,305,231,263,221,115,426,497,469
657252.6,3435466.9,302,231,274,215,120,427,523,501
657250.2,3435460.8,305,236,267,212,118,422,519,517
657266.7,3435459.9,301,233,266,212,113,452,563,560
657230.5,3435457.2,309,238,280,230,131,496,561,563
657229,3435453.4,306,238,272,234,129,510,599,620
657240.8,3435454.3,310,240,275,239,131,466,505,509
657223.1,3435449.6,304,238,285,224,126,494,628,602
657233.1,3435448.7,312,238,281,247,130,522,562,622
657218.1,3435444.3,306,236,272,223,122,467,562,559
657227.3,3435443.1,307,235,270,218,118,444,532,509
657223.4,3435439.3,302,234,273,221,123,447,518,518
657235.2,3435437.2,308,239,278,229,123,489,596,579
657220.8,3435432.5,304,234,269,217,115,427,486,503
657242.6,3435428.1,306,237,277,229,126,495,591,591
657181.6,3435426.6,305,232,259,210,113,400,457,454
657202.2,3435423.3,300,237,265,208,115,427,544,529
657202.2,3435415.7,305,235,276,221,118,432,550,509
657207.5,3435413.6,305,237,265,222,120,462,502,509
657212.2,3435414.8,301,235,272,220,116,419,500,455
657206,3435411,303,236,269,217,115,449,561,555
657189,3435402.4,307,244,275,231,124,407,495,462
657191,3435399.5,299,233,264,216,115,438,513,524
657183.7,3435395.4,300,235,269,213,117,449,589,571
657175.4,3435392.1,307,238,287,227,119,490,609,565
657179.8,3435391.8,306,234,272,216,122,467,532,537
657171.3,3435388.9,306,235,279,221,116,475,639,579
657168.6,3435387.1,308,232,274,211,108,475,574,534
657151.3,3435378.6,316,241,282,236,132,385,454,439
657153.3,3435373,308,237,276,228,118,519,610,612
657165.4,3435371.8,309,234,273,221,119,484,623,596
657143.6,3435368.6,305,234,261,209,109,436,509,522
657143.9,3435364.1,307,236,271,224,112,462,516,553
657165.7,3435370.9,309,234,273,221,119,484,623,596
657156.9,3435363.3,304,238,270,228,123,456,503,534
657158.9,3435358.2,303,237,272,234,126,505,579,597
657163,3435356.5,305,230,269,214,115,463,521,565
657166,3435351.8,308,233,263,209,117,427,543,530
657154.2,3435350.3,307,241,283,225,122,497,621,596
657138.6,3435344.1,302,235,266,213,119,429,514,493
657128.6,3435329.7,306,236,264,214,117,404,495,511
657100.6,3435321.4,304,235,270,217,116,436,488,475
