X,Y,1,2,3,4,5,6,7,8
657110.3,3435288.1,308,239,280,224,119,515,736,693
657118,3435288.7,308,239,281,225,118,559,793,753
657124.8,3435288.7,304,234,280,222,118,560,765,769
657132.7,3435288.7,311,239,272,219,115,508,695,661
657100.8,3435283.9,314,241,281,219,122,489,662,624
657107.7,3435283.9,312,235,286,229,120,554,798,765
657115.3,3435284.4,310,240,282,224,120,583,810,793
657119.8,3435284.4,308,238,286,221,115,576,821,793
657127.2,3435284.4,306,239,284,227,119,567,815,770
657133.3,3435284.4,303,241,273,215,116,493,730,659
657133.8,3435277.8,310,239,271,221,118,499,659,638
657128,3435277.8,306,237,277,221,116,511,691,662
657120.9,3435277.3,305,236,286,228,120,547,734,708
657114,3435277,306,239,284,223,123,531,746,695
657107.9,3435276.8,307,236,281,223,117,540,732,717
657100.3,3435276,308,235,285,224,119,540,750,702
657100.8,3435271.5,306,241,279,221,120,531,757,705
657105.3,3435271.2,307,242,280,223,120,535,703,684
657113.2,3435271.8,309,242,288,233,120,555,749,727
657120.6,3435272,311,237,285,221,115,521,702,679
657127.2,3435272,307,236,274,221,118,505,671,653
657133.8,3435271.2,308,237,274,219,117,482,668,632
657100.3,3435266.7,308,240,279,231,119,536,709,695
657106.9,3435266.7,309,241,287,226,118,534,704,660
657112.2,3435267,308,243,290,225,122,527,734,687
657118,3435267,305,238,284,227,117,531,721,692
657124.6,3435267,309,237,279,225,118,510,677,649
657134.3,3435266.7,305,237,277,227,122,476,606,584
657091.6,3435254.9,309,244,289,233,120,541,706,697
97.4,3435254.9,311,241,293,234,121,558,751,711
657105.6,3435254.6,311,242,286,233,120,549,715,705
657115.6,3435254.9,306,240,284,224,117,502,650,631
657099.5,3435247.5,310,240,285,231,122,564,701,711
657174.2,3435291.6,304,238,274,225,116,538,782,761
657149.9,3435285.2,308,238,273,213,116,495,711,666
657160.2,3435285.2,309,237,275,224,115,524,730,712
657167.3,3435284.7,310,238,278,225,123,516,686,668
657175.5,3435285.5,310,240,282,226,122,523,731,708
657181.3,3435285.2,308,239,278,222,117,511,687,683
657182.4,3435278.6,306,245,289,224,128,510,716,685
657177.1,3435278.1,312,243,280,230,117,550,761,719
657170.8,3435277.8,308,238,273,220,116,530,734,700
657163.9,3435277,308,240,277,221,117,513,708,681
657155.7,3435277,308,237,280,223,118,516,686,667
657148.6,3435277,311,234,277,223,117,504,685,665
657148.1,3435271.8,309,239,279,219,116,502,668,647
657154.7,3435271.5,304,240,277,222,118,494,669,631
657161.3,3435271.8,306,238,280,220,118,485,671,647
657169.4,3435271.5,306,240,278,230,121,521,678,651
657176,3435271.5,310,242,278,226,117,502,683,639
657148.1,3435268.3,310,240,279,221,119,495,628,609
657154.7,3435268.6,308,242,286,226,117,517,688,679
657163.6,3435268.6,306,239,280,224,119,511,672,641
657170.8,3435268.9,307,237,277,225,119,504,695,652
657180.3,3435268.3,314,239,277,234,112,532,699,673
657150.2,3435261.2,308,240,295,231,120,536,700,667
657159.4,3435261.5,307,237,274,219,117,493,673,651
657168.9,3435261.5,307,241,288,234,119,539,726,691
657178.1,3435261.7,308,241,285,229,118,536,693,689
657178.4,3435253.3,309,238,280,221,118,530,720,692
657171.3,3435253.5,315,238,281,225,115,543,718,705
657165.7,3435253.3,305,240,282,225,119,517,707,664
657157.8,3435253.3,307,244,291,229,120,543,719,697
657148.6,3435250.6,310,241,285,216,119,485,672,608
657145.7,3435278,311,240,279,213,122,477,640,610
657152,3435246.9,306,239,277,222,121,474,621,585
657157.8,3435247.5,309,238,281,226,118,509,674,630
657165.7,3435247.7,308,238,287,228,121,542,699,684
657174.7,3435247.5,308,241,289,224,119,534,684,668
657194.8,3435298.4,307,238,275,217,118,486,666,633
657201.9,3435297.9,304,239,275,219,115,500,669,654
657190,3435292.3,310,239,280,225,121,503,650,634
657201.6,3435292.1,312,243,278,219,121,502,672,649
657209.3,3435292.3,313,241,225,280,117,514,697,656
657218.8,3435292.3,310,240,276,226,123,486,636,597
657190.8,3435286,306,240,279,230,115,494,653,615
657198.2,3435285.2,307,239,281,220,118,500,682,664
657206.1,3435285.2,306,239,284,226,123,495,662,622
657216.2,3435283.9,309,241,273,228,119,466,611,580
657190.3,3435276,310,239,283,221,118,508,678,651
657197.4,3435275.5,310,239,276,224,119,499,656,637
657204.3,3435275.2,310,242,278,224,119,493,648,628
657213.3,3435274.7,306,238,277,228,116,508,656,642
657221.4,3435274.7,308,243,281,221,119,488,647,610
657230.4,3435295.8,305,235,272,218,110,476,622,620
657238.6,3435295,309,238,274,222,122,470,607,590
657226.5,3435288.1,305,242,277,228,122,500,635,653
657232.3,3435288.1,309,241,281,230,123,472,609,580
657238.6,3435288.4,308,238,278,225,119,503,675,640
657225.7,3435283.4,310,242,282,243,131,498,621,598
657232.5,3435282.8,306,238,282,230,119,510,653,638
657238.1,3435282.1,307,235,273,222,117,518,621,635
657225.9,3435277.8,308,236,282,224,122,498,633,607
657232,3435277.8,310,237,276,228,119,488,624,593
657226.5,3435272.6,308,241,278,216,118,499,658,627
657230.4,3435272.8,303,239,275,220,115,493,641,599
657276.1,3435286,302,236,273,214,119,500,670,655
657284.9,3435285.1,307,238,274,223,120,498,681,651
657292,3435283.4,307,235,273,216,120,499,651,636
657291.5,3435275,309,239,273,224,117,475,598,569
657284.9,3435274.5,308,237,273,220,118,491,638,607
657277,3435273.6,306,238,281,228,121,487,632,586
657277.8,3435266.6,310,237,271,219,117,477,642,611
657284,3435266.1,305,238,271,222,122,448,559,554
657289.3,3435263.5,304,239,277,225,119,472,621,577
657288.9,3435253.3,305,237,272,225,122,452,569,539
657284,3435252.9,304,235,278,221,117,475,590,558
657289.8,3435252,305,237,272,225,122,452,569,539
657282.7,3435247.6,308,239,279,231,123,495,592,566
657325.1,3435276.8,311,239,278,226,120,516,658,649
657335.7,3435276.4,306,234,276,221,120,503,658,624
