X,Y,X1,X2,X3,X4,X5,X6,X7,X8
657044,3435879,331,266,325,353,230,469,423,404
657053,3435868,332,275,336,369,250,496,463,442
657057,3435866,329,261,310,364,234,500,464,444
657000,3435872,334,277,344,399,251,499,432,406
657008,3435865,334,274,348,395,258,555,492,465
657005,3435862,333,275,337,395,256,523,453,443
656992,3435851,330,275,341,379,263,503,472,465
656983,3435839,323,263,319,346,230,480,464,448
657003,3435828,329,275,338,381,261,538,503,488
657006,3435811,333,279,368,433,288,608,522,509
657215,3435876,305,238,253,239,135,310,303,304
657201,3435864,312,247,282,272,175,389,383,390
657182,3435830,314,244,282,278,169,375,348,353
657176,3435811,313,247,291,290,181,440,477,454
657165,3435780,317,246,266,277,150,372,317,377
657117,3435726,314,243,274,268,164,379,393,371
657053,3435645,331,271,360,389,267,550,530,522
657649,3435681,327,275,348,383,253,557,533,542
657657,3435675,322,272,343,359,250,537,550,553
657681,3435679,314,251,294,273,175,483,542,573
657715,3435666,319,257,298,286,182,480,539,545
657724,3435660,319,254,293,277,176,479,541,563
657648,3435657,319,260,305,293,203,443,492,509
657645,3435647,313,257,296,299,190,461,502,519
657663,3435666,321,264,326,339,222,516,546,559
657661,3435658,315,259,307,279,204,436,478,496
657658,3435652,317,254,287,277,177,444,483,515
657644,3435647,313,257,298,299,190,461,502,519
657655,3435648,314,253,295,280,187,447,505,532
657645,3435642,319,266,322,314,222,483,531,531
657663,3435641,319,254,298,286,189,457,510,536
657677,3435637,317,254,304,279,197,450,506,529
657685,3435634,335,283,349,376,248,492,475,509
657637,3435622,323,266,337,360,232,520,488,495
657641,3435617,314,256,307,282,192,479,530,524
657647,3435615,312,255,295,289,180,445,504,502
657655,3435609,316,261,298,275,183,444,489,509
657665,3435608,317,253,292,291,177,462,488,495
657675,3435605,317,257,300,282,188,441,462,472
657671,3435591,315,259,300,299,203,415,408,448
657624,3435599,316,255,303,298,198,454,480,483
657637,3435595,311,252,297,284,190,448,482,513
657643,3435595,316,255,301,290,188,477,537,549
677653,3435596,318,253,288,269,168,435,489,511
676561,3435594,316,252,294,283,176,448,511,506
657671,3435591,315,259,300,299,203,415,408,448
657667,3435582,325,257,306,293,195,437,478,502
657647,3435581,316,250,286,271,163,474,526,537
657628,3435583,317,252,293,283,177,485,538,572
657605,3435588,329,267,342,390,242,579,557,547
657629,3435583,317,252,293,283,177,485,538,572
657663,3435581,323,258,317,301,204,463,528,533
657657,3435569,329,268,334,356,238,495,477,484
657657,3435563,331,273,333,365,238,454,416,414
657637,3435550,321,272,349,374,267,536,542,536
657595,3435566,320,259,320,327,213,529,579,581
657599,3435534,320,253,301,310,205,457,431,514
657599,3435532,326,269,348,358,267,473,486,465
657609,3435525,323,273,347,379,271,534,522,530
657613,3435516,329,273,348,405,259,548,503,513
657635,3435526,338,282,351,408,268,504,488,460
657617,3435508,326,266,331,356,241,500,488,500
657623,3435500,328,267,325,362,228,538,525,541
657625,3435494,332,271,338,350,243,486,498,487
657625,3435484,319,251,289,275,172,379,400,423
657631,3435480,317,270,317,325,217,454,460,479
657618,3435469,318,261,305,300,195,421,431,462
657613,3435464,325,258,312,310,207,412,440,459
657605,3435462,324,266,321,320,229,438,439,482
657592,3435454,326,268,322,355,235,466,437,468
657582,3435448,327,266,320,336,224,459,445,457
657577,3435436,313,244,266,256,159,335,374,417
657583,3435431,323,268,328,351,234,468,461,465
657589,3435420,326,272,333,320,230,487,510,483
657617,3435445,317,260,300,299,195,386,384,399
657619,3435447,323,265,315,302,203,404,409,413
657625,3435449,321,255,296,290,188,380,397,384
657639,3435448,319,259,298,289,194,380,387,409
657627,3435408,344,268,338,396,248,521,461,453
657631,3435391,324,269,316,294,202,411,420,406
657597,3435381,319,258,301,288,188,398,391,408
657607,3435371,315,254,290,267,174,447,497,504
657511,3435320,319,261,309,309,212,401,401,431
657515,3435318,321,256,306,291,205,408,437,447
657530,3435315,313,260,311,285,210,407,442,466
657521,3435283,319,272,352,396,268,565,563,563
657525,3435272,321,276,356,385,284,549,584,548
657490,3435282,318,260,336,394,264,565,553,536
657464,3435274,326,269,341,400,260,561,529,535
657542,3435347,328,270,334,367,259,460,430,442
657549,3435352,328,264,332,364,254,448,436,442
657553,3435346,327,267,330,373,265,462,439,445
657560,3435348,322,268,332,386,258,464,430,437
657564,3435341,323,273,348,360,297,434,413,413
657571,3435334,325,274,336,403,263,499,442,439
657573,3435331,320,272,337,356,255,460,454,449
657581,3435335,324,273,344,389,271,480,438,430
657577,3435338,324,272,342,416,284,500,451,437
657573,3435342,326,267,329,370,256,461,412,420
657299,3435280,313,252,306,362,242,523,504,497
657298,3435277,312,252,309,341,247,512,531,511
657299,3435272,317,255,311,360,241,523,507,480
657297,3435266,317,256,317,397,270,552,492,471
657256,3435261,314,251,296,338,251,448,398,379
657359,3435264,310,250,295,311,232,459,427,422
657079,3435782,314,244,279,267,179,445,465,488
657103,3435753,310,245,277,248,181,365,411,394
657096,3435716,318,249,285,289,180,389,395,367
657060,3435702,315,247,269,268,168,360,351,337
657131,3435733,317,255,292,262,180,373,408,374
