X,Y,1,2,3,4,5,6,7,8
657646.1,3435679.6,334,278,385,456,290,619,594,580
657665.9,3435674.3,337,279,383,465,280,678,623,615
657641.6,3435671.8,345,298,441,557,386,711,630,595
657637.5,3435661.9,337,293,408,480,328,655,636,599
657631.7,3435652.7,334,279,380,399,289,577,586,555
657621.4,3435633.9,330,277,370,409,284,618,583,597
657621.8,3435622.4,331,282,381,436,300,589,537,520
657631.3,3435612.9,336,285,387,443,292,557,483,454
657637.5,3435605.1,334,285,390,414,296,601,561,541
657611.5,3435604.7,340,292,380,427,290,572,523,498
657607,3435594.8,348,303,419,507,354,638,544,516
657600.4,3435589.5,346,301,429,527,377,662,592,548
657594.2,3435584.1,337,293,410,509,362,651,565,540
657587.6,3435578.3,326,281,375,434,307,601,572,548
657581.5,3435571.8,337,281,384,445,308,606,579,559
657686,3435622,368,326,444,522,351,612,499,489
657685.6,3435611.7,355,318,414,458,313,506,442,439
657686.4,3435602.6,372,350,483,534,374,602,534,494
657683.6,3435594.8,394,362,486,528,360,554,457,424
657677,3435590.3,399,373,522,559,403,613,532,489
657684.8,3435590.3,411,381,520,577,374,588,486,441
657675.7,3435584.1,390,341,460,514,352,549,480,432
657685.6,3435584.5,413,384,531,586,388,593,490,470
657672,3435580.8,383,359,488,516,375,575,505,465
657682.7,3435580.8,422,416,598,632,435,640,524,479
657669.6,3435577.1,359,329,430,448,323,498,449,430
657679,3435577.1,423,424,595,626,423,620,504,453
657677,3435570.1,373,333,460,543,371,630,577,548
657666.3,3435570.1,375,334,447,506,337,550,452,418
657662.6,3435562.7,371,331,452,478,328,525,435,397
657658.9,3435555.7,400,363,504,572,369,575,477,445
657647.3,3435552.4,397,371,534,572,398,609,514,455
657658.4,3435551.2,420,405,576,649,435,668,525,489
657639.9,3435548.3,347,312,433,547,385,649,553,523
657652.3,3435546.7,422,408,579,633,414,625,511,467
657666.3,3435548.8,361,307,412,498,315,603,518,527
657635,3435535.5,367,336,445,489,334,561,456,429
657646.1,3435533.5,418,408,569,594,403,617,495,454
657654.7,3435532.7,425,412,582,649,432,667,533,479
657651,3435524.4,422,398,548,631,404,667,558,506
657661.3,3435518.2,423,403,574,586,408,645,564,548
657673.3,3435520.3,386,351,494,565,385,656,584,576
657675.3,3435539.2,403,399,580,618,425,656,581,534
657643.6,3435494.8,356,328,431,449,286,542,523,502
657643.6,3435499.3,363,329,440,460,315,576,522,541
657653.9,3435503.8,394,369,502,512,335,555,495,471
657674.5,3435505.9,363,320,402,413,254,491,434,403
657670.8,3435499.7,388,329,434,447,291,526,495,510
657636.6,3435477.5,341,293,374,400,273,505,480,463
657647.3,3435475,402,382,530,590,400,635,543,525
657649.4,3435468.9,425,403,582,633,414,659,579,507
657641.6,3435465.6,356,313,421,470,318,573,520,509
657647.3,3435458.1,354,317,424,477,319,559,489,476
657652.3,3435450.7,358,320,435,484,345,610,543,526
657663.4,3435444.2,364,370,515,448,367,585,606,556
657660.5,3435439.2,368,324,457,500,343,596,542,506
657647.8,3435439.8,347,280,367,424,262,538,477,484
657656.1,3435432,339,295,392,451,288,607,545,520
657640.5,3435430.5,425,399,557,557,394,589,524,466
657628.4,3435425.2,397,368,497,494,340,532,474,456
657642,3435423.2,382,357,489,504,351,558,509,482
657621.6,3435420.3,402,354,478,512,337,578,494,476
657629.4,3435415.4,345,309,382,391,265,512,480,479
657614.3,3435411.1,425,406,562,642,407,678,564,549
657600.6,3435413.5,363,334,451,473,311,587,552,508
657670.3,3435423.7,366,325,466,549,378,647,572,518
657676.6,3435412.5,368,338,485,570,407,649,569,525
657683.4,3435404.7,368,343,508,615,437,743,653,623
657674.2,3435401.8,358,323,465,566,404,669,585,536
657682.9,3435394.5,336,294,403,440,328,565,538,524
657593.9,3435414.4,331,290,391,404,285,583,583,544
657585.1,3435408.1,384,338,452,492,325,552,475,444
657592.4,3435403.7,438,425,598,628,437,682,593,530
