X,Y,1,2,3,4,5,6,7,8
"657,038.9","3,435,576.9",303,235,253,237,159,340,388,373
"657,166.7","3,435,601.1",299,231,245,210,130,310,354,346
"657,172.9","3,435,573.2",296,229,244,214,146,323,354,337
"657,175.5","3,435,568.1",300,230,238,220,134,267,297,280
"657,158.7","3,435,540.4",306,238,261,235,158,346,359,375
"657,163.3","3,435,536.5",303,233,250,226,147,313,329,354
"657,173.5","3,435,540.9",304,233,253,235,146,362,361,368
657181,"3,435,534.9",302,234,244,212,134,297,305,318
657118,3435551,303,234,248,219,137,315,353,323
"657,112.6","3,435,542.8",306,228,251,209,134,282,336,295
"657,035.2","3,435,545.2",309,240,265,246,155,304,303,326
"657,048.5","3,435,535.1",302,236,266,230,150,332,374,361
657011,"3,435,515.2",304,231,248,207,130,271,296,272
"656,975.2","3,435,501.1",312,240,257,224,143,279,303,292
"656,960.9","3,435,478.7",312,245,280,263,158,396,432,426
"656,981.1",3435449,306,236,251,217,141,319,356,345
"656,994.9","3,435,427.1",306,238,253,232,135,376,347,378
"657,003.1","3,435,452.8",306,234,255,217,141,280,324,299
"607,044.7","3,435,487.2",308,240,264,238,147,350,398,389
"657,056.6","3,435,498.7",305,236,246,216,137,275,282,290
"657,067.1","3,435,492.9",308,238,255,218,146,299,349,334
"657,061.1","3,435,476.9",301,235,250,206,131,312,361,331
"657,049.4","3,435,448.9",303,230,242,204,136,257,268,262
"657,077.1","3,435,466.7",306,230,241,207,129,285,285,288
"657,079.3",3435453,299,229,242,210,131,277,299,301
"657,046.9","3,435,397.1",308,233,250,225,144,299,330,335
"657,051.1","3,435,390.9",307,235,242,209,129,268,271,273
"657,063.1","3,435,354.2",302,238,265,229,150,314,334,319
"657,071.6","3,435,374.8",303,232,247,219,128,333,341,347
"657,177.2","3,435,320.5",303,230,251,214,133,300,359,363
"657,161.5","3,435,316.7",306,237,258,227,153,322,374,359
"657,155.7","3,435,332.3",301,238,254,204,136,349,416,398
"657,157.6","3,435,338.9",304,231,246,219,146,289,302,302
"657,145.9","3,435,349.3",302,233,245,207,131,281,274,288
657151,"3,435,352.8",304,246,281,260,174,406,436,425
657151,"3,435,357.1",303,236,255,236,140,297,309,304
"657,136.9","3,435,352.8",298,240,261,224,157,326,381,365
"657,123.2","3,435,360.8",297,229,239,197,129,254,286,270
"657,119.1","3,435,348.7",301,236,241,218,136,296,290,281
"657,104.9","3,435,351.2",303,235,233,215,117,270,253,254
"657,097.3","3,435,360.6",307,234,249,228,144,321,324,329
"657,071.3","3,435,374.7",303,232,247,219,128,333,341,347
"657,093.2","3,435,380.9",303,236,241,212,133,270,276,275
"657,093.2","3,435,372.7",306,236,241,220,126,303,292,331
"657,093.2","3,435,387.2",302,233,248,213,134,271,298,273
657107,"3,435,377.2",304,235,245,197,124,232,273,234
"657,120.7","3,435,369.2",304,235,247,219,135,265,306,308
"657,131.6","3,435,368.6",300,235,245,208,134,267,281,283
"657,131.6","3,435,368.6",300,235,245,208,134,267,281,283
"657,125.4","3,435,382.7",301,235,245,209,123,314,327,331
"657,121.3","3,435,368.6",304,235,247,219,135,265,306,308
"657,131.4",3435369,300,235,245,208,134,267,281,283
"657,145.1","3,435,376.4",309,241,273,251,157,354,390,390
"657,161.1","3,435,376.8",307,243,273,255,174,400,441,439
"657,165.4","3,435,382.9",302,236,261,229,142,363,383,399
"657,153.1","3,435,393.2",302,238,257,251,163,350,342,369
"657,143.2","3,435,404.8",306,235,259,240,151,316,299,316
"657,169.1","3,435,416.9",305,231,245,223,141,307,291,302
"657,167.2","3,435,423.1",297,238,255,219,141,286,318,318
"657,187.1","3,435,423.5",305,234,250,235,142,332,314,371
657191,"3,435,435.2",299,233,251,221,139,309,339,333
