,secID,ticker,exchangeCD,secShortName,secShortNameEn,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue
0,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-02,8.786,8.795,8.804,8.655,8.693,69821040,652410750
1,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-03,8.693,8.646,8.665,8.46,8.516,88351968,807094460
2,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-06,8.516,8.674,8.702,8.506,8.562000000000001,117267696,1079925500
3,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-07,8.562000000000001,8.543,8.581,8.394,8.516,72150944,657895490
4,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-08,8.516,8.516,8.683,8.488,8.571,78603480,724415940
5,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-09,8.571,8.571,8.795,8.533999999999999,8.655,109976760,1025797630
6,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-10,8.655,8.646,8.804,8.609,8.767000000000001,93379976,875061950
7,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-13,8.767000000000001,8.795,8.823,8.693,8.748,65935364,618500160
8,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-14,8.748,8.758,8.786,8.618,8.758,79710264,744481150
9,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-15,8.758,8.748,8.758,8.533999999999999,8.599,77606640,717369980
10,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-16,8.599,8.59,8.627,8.543,8.552999999999999,67204744,618488770
11,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-17,8.552999999999999,8.543,8.543,8.45,8.497,66047496,601804100
12,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-20,8.497,8.478,8.506,8.422,8.45,42094792,382309888
13,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-21,8.45,8.478,8.627,8.469,8.533999999999999,47596032,436604864
14,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-22,8.533999999999999,8.552999999999999,8.738999999999999,8.543,8.702,91387280,849733120
15,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-23,8.702,8.674,8.702,8.581,8.59,63055408,583623040
16,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-24,8.59,8.543,8.683,8.516,8.599,70757208,653717700
17,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-27,8.599,8.562000000000001,8.571,8.478,8.497,69858648,637844220
18,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-28,8.497,8.497,8.655,8.497,8.562000000000001,57333616,527187520
19,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-29,8.562000000000001,8.609,8.674,8.571,8.655,71042824,659122820
20,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-01-30,8.655,8.637,8.665,8.525,8.543,52508928,485399520
21,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-07,8.543,8.506,8.552999999999999,8.45,8.552999999999999,51136920,466080896
22,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-10,8.552999999999999,8.552999999999999,8.665,8.533999999999999,8.655,91573112,848138370
23,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-11,8.655,8.674,9.019,8.59,8.888,212392416,2017636480
24,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-12,8.888,8.851,8.981,8.795,8.851,106449344,1012082690
25,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-13,8.851,8.832,9.168,8.767000000000001,8.943999999999999,197765136,1901282560
26,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-14,8.943999999999999,8.943999999999999,8.972000000000001,8.86,8.935,80503232,770860220
27,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-17,8.935,8.963,9.0,8.832,8.87,107916288,1029473540
28,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-18,8.87,8.86,8.86,8.599,8.627,131972248,1231564420
29,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-19,8.627,8.618,8.916,8.571,8.842,150729696,1420983550
30,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-20,8.842,8.879,9.065,8.72,8.748,144607392,1379086340
31,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-21,8.748,8.748,8.786,8.59,8.655,82312552,765984700
32,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-24,8.655,8.571,8.581,8.357000000000001,8.394,135269200,1223507840
33,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-25,8.394,8.394,8.46,8.208,8.227,112988176,1012070340
34,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-26,8.227,8.208,8.283,8.171,8.245,79811064,704799680
35,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-27,8.245,8.292,8.413,8.208,8.329,112556008,1005356220
36,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-02-28,8.329,8.292,8.394,8.199,8.301,75427864,671034430
37,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2014-03-03,8.301,8.301,8.311,8.208,8.245,81389992,720619840
