,secID,ticker,exchangeCD,secShortName,secShortNameEn,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue
0,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-01,7.462999999999999,7.472,7.523,7.446000000000001,7.472,42401676,372673952
1,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-04,7.472,7.412000000000001,7.412000000000001,7.3020000000000005,7.31,69367976,599453500
2,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-05,7.31,7.336,7.353,7.276,7.285,69666904,598110590
3,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-06,7.285,7.31,7.3870000000000005,7.276,7.336,49918848,429065888
4,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-07,7.336,7.3870000000000005,7.404,7.2589999999999995,7.285,48026408,413324672
5,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-08,7.285,7.242000000000001,7.2589999999999995,7.072,7.098,140389728,1176530430
6,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-11,7.098,7.115,7.132000000000001,7.072,7.098,71644864,597652540
7,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-12,7.098,7.072,7.106,6.97,7.055,82431224,680814850
8,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-13,7.055,0.0,0.0,0.0,7.055,0,0
9,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-14,7.055,7.063,7.098,7.021,7.037999999999999,80017464,664166660
10,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-15,7.037999999999999,7.072,7.2589999999999995,7.055,7.207999999999999,134216056,1129580290
11,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-18,7.207999999999999,7.207999999999999,7.2170000000000005,7.166,7.2,50212960,424346816
12,600000.XSHG,600000,XSHG,浦发银行,SPD Bank,2012-06-19,7.2,7.207999999999999,7.268,7.1739999999999995,7.225,47008304,398791968
