X,Y,1,2,3,4,5,6,7,8
657466.78,3435326.6,306,232,245,199,105,382,483,488
657477,3435318.7,298,225,235,188,100,283,313,316
657486.9,3435328.7,305,226,237,191,102,311,350,373
657487.8,3435319,300,226,235,181,103,277,299,322
657493.6,3435312.9,303,226,236,182,93,282,299,300
657500.7,3435316.7,301,230,237,193,109,255,284,245
657498.9,3435305.3,301,225,234,187,101,302,327,340
657384.6,3435340.1,296,226,242,184,98,349,442,425
657398.3,3435345,306,228,243,200,102,363,449,432
657416.4,3435344.7,300,226,237,189,99,378,438,437
657400.1,3435336.3,300,227,232,186,95,312,346,356
657399.5,3435327.2,297,224,240,184,97,337,408,382
657412.4,3435327.8,296,224,230,181,96,291,322,317
657421.4,3435326.6,294,222,230,171,90,264,304,296
657389.6,3435322.8,296,220,226,188,96,285,338,322
657419.4,3435318.7,297,220,226,175,91,264,272,273
657353,3435319.3,297,222,236,184,99,302,333,336
657348.3,3435314.3,296,223,230,183,95,321,356,361
657361.5,3435314.6,298,226,236,184,105,306,374,398
657381.7,3435314.9,292,223,228,180,96,286,323,334
657365,3435308.8,298,226,230,193,94,309,376,394
657354.5,3435306.7,297,224,233,201,104,320,373,405
657361.5,3435304.4,294,222,223,168,85,237,261,246
657372.6,3435302.9,299,225,227,183,91,290,324,345
657365.3,3435295,299,226,235,196,100,402,406,430
657357.1,3435289.8,295,227,239,196,102,318,345,356
657374.9,3435288.9,300,226,241,219,109,406,400,479
657386.9,3435295,294,226,235,185,96,305,330,347
657306.8,3435326.9,297,225,230,178,95,283,341,314
657318.2,3435326.9,294,226,230,189,101,274,311,296
657327,3435324.6,293,215,216,171,89,222,248,253
657306.8,3435318.7,297,225,232,185,96,287,346,327
657317.6,3435319.3,297,222,227,186,93,275,298,305
657339.9,3435319,297,225,239,186,99,301,386,325
657313,3435306.7,300,219,223,177,91,240,243,232
657321.4,3435305.3,293,224,221,177,93,241,275,249
657329.6,3435309.1,299,218,221,168,90,201,215,196
657345.1,3435312.9,297,224,231,184,94,259,273,286
657341,3435303.5,302,225,236,189,102,310,356,347
657289,3435339.2,294,226,231,177,99,239,281,234
657281.1,3435334.2,296,224,223,185,95,264,271,298
657294.8,3435334.5,295,219,229,186,98,285,308,290
657309.5,3435334.8,300,224,230,189,99,289,314,331
657275.5,3435326.9,290,222,216,174,90,195,206,210
657287.2,3435326.9,299,219,220,170,88,236,235,239
657305.1,3435326.6,299,222,225,180,93,289,307,303
657295.1,3435320.2,294,221,215,171,86,220,238,221
657283.7,3435314.6,294,221,221,170,90,224,225,235
657305.1,3435317,299,225,222,175,93,238,263,264
657312.4,3435320.5,299,226,233,175,94,234,292,241
657295.7,3435311.4,297,219,228,177,96,229,298,268
657313,3435309.1,296,229,238,188,104,281,336,337
657430.8,3435381.3,298,221,234,187,97,292,317,312
